"id","title","txt_url","authors"
"33159","Os dialectos romanicos ou neo-latinos na África, Ásia e América","https://www.gutenberg.org/ebooks/33159.txt.utf-8","Coelho, Adolfo"
"30777","A Casa do Saltimbanco","https://www.gutenberg.org/ebooks/30777.txt.utf-8","Stolz, Mme. de"
"31573","Um novo mundo","https://www.gutenberg.org/ebooks/31573.txt.utf-8","Cabral, Guilherme Read"
"67725","O Guarany: romance brazileiro, Vol. 2 (of 2)","https://www.gutenberg.org/ebooks/67725.txt.utf-8","Alencar, José Martiniano de"
"32793","Historia de um beijo","https://www.gutenberg.org/ebooks/32793.txt.utf-8","Pérez Escrich, Enrique"
"16443","Uma família ingleza: Scenas da vida do Porto","https://www.gutenberg.org/ebooks/16443.txt.utf-8","Dinis, Júlio"
"67535","Triste Fim de Polycarpo Quaresma","https://www.gutenberg.org/ebooks/67535.txt.utf-8","Barreto, Lima"
"29435","O que fazem mulheres: Romance philosophico","https://www.gutenberg.org/ebooks/29435.txt.utf-8","Castelo Branco, Camilo"
"17503","Os meus amores: contos e balladas","https://www.gutenberg.org/ebooks/17503.txt.utf-8","Coelho, Trindade"
"38496","Ubirajara: Lenda Tupi","https://www.gutenberg.org/ebooks/38496.txt.utf-8","Alencar, José Martiniano de"
"53101","A Mao e A Luva","https://www.gutenberg.org/ebooks/53101.txt.utf-8","Machado de Assis"
"25537","Paisagens da China e do Japão","https://www.gutenberg.org/ebooks/25537.txt.utf-8","Moraes, Wenceslau de"
"24401","Viagens na Minha Terra (Completo)","https://www.gutenberg.org/ebooks/24401.txt.utf-8","Almeida Garrett, João Batista da Silva Leitão de Almeida Garrett, Visconde de"
"57001","Papeis Avulsos","https://www.gutenberg.org/ebooks/57001.txt.utf-8","Machado de Assis"
"30341","Contos Paraenses","https://www.gutenberg.org/ebooks/30341.txt.utf-8","Carvalho, João Marques de"
"16384","O Mandarim","https://www.gutenberg.org/ebooks/16384.txt.utf-8","Queirós, Eça de"
"34750","Mysterio do Natal","https://www.gutenberg.org/ebooks/34750.txt.utf-8","Coelho Netto, Henrique"
"56737","Esau e Jacob","https://www.gutenberg.org/ebooks/56737.txt.utf-8","Machado de Assis"
"32002","A Chave do Enigma","https://www.gutenberg.org/ebooks/32002.txt.utf-8","Castilho, Antonio Feliciano de"
"27637","A correspondência de Fradique Mendes: memórias e notas","https://www.gutenberg.org/ebooks/27637.txt.utf-8","Queirós, Eça de"
"30176","O Carrasco de Victor Hugo José Alves","https://www.gutenberg.org/ebooks/30176.txt.utf-8","Castelo Branco, Camilo"
"27155","Infelizes: Historias Vividas","https://www.gutenberg.org/ebooks/27155.txt.utf-8","Osório, Ana de Castro"
"75220","Historias das Ilhas : $b (Reminiscencias dos Açores e da Madeira)","https://www.gutenberg.org/ebooks/75220.txt.utf-8","Azevedo, Maximiliano de"
"22622","Aves Migradoras","https://www.gutenberg.org/ebooks/22622.txt.utf-8","Almeida, Fialho de"
"21567","Miniaturas Romanticas","https://www.gutenberg.org/ebooks/21567.txt.utf-8","Lima, S. de Magalhães (Sebastião de Magalhães)"
"63606","Lupe","https://www.gutenberg.org/ebooks/63606.txt.utf-8","Affonso Celso, Affonso Celso de Assis Figueiredo, conde de"
"26017","O Regicida","https://www.gutenberg.org/ebooks/26017.txt.utf-8","Castelo Branco, Camilo"
"32020","Serão inquieto : contos","https://www.gutenberg.org/ebooks/32020.txt.utf-8","Patrício, António"
"20574","O Mysterio da Estrada de Cintra. Cartas ao Diário de Noticias","https://www.gutenberg.org/ebooks/20574.txt.utf-8","Queirós, Eça de; Ortigão, Ramalho"
"21406","Novelas do Minho","https://www.gutenberg.org/ebooks/21406.txt.utf-8","Castelo Branco, Camilo"
"63317","Os contos do tio Joaquim","https://www.gutenberg.org/ebooks/63317.txt.utf-8","Paganino, Rodrigo"
"31905","Contos","https://www.gutenberg.org/ebooks/31905.txt.utf-8","Câmara, João da"
"62896","Ao Entardecer (Contos Varios)","https://www.gutenberg.org/ebooks/62896.txt.utf-8","Taunay, Alfredo d'Escragnolle Taunay, Visconde de"
"29968","Quatro Novelas","https://www.gutenberg.org/ebooks/29968.txt.utf-8","Osório, Ana de Castro"
"35982","A ultima ceia do Doutor Fausto","https://www.gutenberg.org/ebooks/35982.txt.utf-8","Pimentel, Alberto"
"26025","Carlota Angela","https://www.gutenberg.org/ebooks/26025.txt.utf-8","Castelo Branco, Camilo"
"28341","Da terra à lua, viagem directa em 97 horas e 20 minutos","https://www.gutenberg.org/ebooks/28341.txt.utf-8","Verne, Jules"
"34756","Livro de Consolação: Romance","https://www.gutenberg.org/ebooks/34756.txt.utf-8","Castelo Branco, Camilo"
"68905","A brazileira de Prazins: scenas do Minho.","https://www.gutenberg.org/ebooks/68905.txt.utf-8","Castelo Branco, Camilo"
"30946","Amôres d'um deputado","https://www.gutenberg.org/ebooks/30946.txt.utf-8","Buffenoir, Hippolyte"
"69239","Era uma vez...","https://www.gutenberg.org/ebooks/69239.txt.utf-8","Almeida, Júlia Lopes de"
"29213","Vamiré: Romance dos tempos primitivos","https://www.gutenberg.org/ebooks/29213.txt.utf-8","Rosny, J.-H., aîné"
"67780","Yayá Garcia","https://www.gutenberg.org/ebooks/67780.txt.utf-8","Machado de Assis"
"17005","Lendas e Narrativas (Tomo II)","https://www.gutenberg.org/ebooks/17005.txt.utf-8","Herculano, Alexandre"
"28928","O Conde de S. Luiz","https://www.gutenberg.org/ebooks/28928.txt.utf-8","Mello, Thomaz José de"
